postalCode,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count
62230,70536,6279,39.6,37522,186,86
60408,65559,5649,39.3,30895,530,131
60440,73813,52246,35.6,29179,4679,1611
60915,55152,10121,33.5,23656,1286,276
60914,68512,29969,34.4,30319,2933,549
60402,60814,63554,35.5,24708,7692,1854
60402,60814,63554,35.5,24708,7692,1854
61008,58709,34292,38.5,28174,4240,1266
62223,62572,16309,43.3,33635,1483,494
60506,61231,54216,35,26055,7713,1724
60504,81068,38013,34.1,35018,2460,1299
61231,53859,5213,46.8,29779,385,139
60102,102698,32739,41.6,43359,1132,1202
60102,102698,32739,41.6,43359,1132,1202
83651,43256,34354,32.1,18140,6428,1104
83616,82874,28275,46,46135,1862,443
83617,42615,15522,45.3,20867,2723,313
15012,64773,15420,47.3,33806,1290,544
15001,54308,30945,45.3,29521,4190,929
27591,62651,21098,38.4,26853,2106,402
28358,37858,38760,35.6,19862,10467,859
39206,37710,24653,35.6,22246,5876,1362
39532,58008,37122,37.3,26497,4526,1283
28273,63687,39483,33.4,29482,3705,1539
39702,43702,22963,37.6,22307,5233,886
27262,39276,24379,34.7,25674,5009,842
27613,96185,42933,38.5,49778,1760,796
59923,39105,9282,52.9,25105,1555,357
39563,38210,13487,44.9,24517,3098,621
27295,49195,38511,42.9,25287,5256,1345
27284,61071,54413,42.7,31974,6184,1071
59715,56208,35317,31,36522,5411,957
28613,54585,22233,41.2,26646,3053,888
59802,42928,19437,35.4,31408,3301,731
38732,32331,17644,33.6,19516,4965,609
39530,33653,7954,35.4,20071,2635,401
38671,51127,37554,35.4,23784,4303,1125
27410,65755,55519,42.4,39731,4518,1101
27874,36023,3766,54.1,31476,915,94
28304,48358,36404,34.8,24641,6624,1686
59937,58598,13931,43.9,39071,1506,304
28269,64803,76811,36.3,32605,5341,2113
28212,39439,45694,30.5,19018,11593,2461
28147,49048,24878,39.7,23355,4395,915
27410,65755,55519,42.4,39731,4518,1101
28215,50305,62533,33.4,22534,10998,2977
27292,41315,39649,42.3,21437,7520,1606
62208,63074,16516,40.4,34049,1721,523
61112,21192,66,86,25294,0,0
71291,50762,31795,38.7,28303,4590,538
48353,78466,6636,47.1,36127,584,197
61104,28453,19454,31.6,15647,7488,1562
62301,40634,32078,38.2,25456,5589,1031
60471,55625,14055,37.9,24417,2451,1155
61764,52017,14026,41.1,25426,1960,371
23601,56803,25578,40.1,29857,2760,705
61554,53504,42059,40.8,28242,5352,1084
43123,67872,65442,38.4,32037,5482,1334
61348,59219,4483,41.8,29941,388,106
95603,66272,29244,47.3,38400,2972,606
95531,46282,23470,38.1,22538,4577,666
95380,45901,42672,33.3,21882,8609,1866
95382,69720,38343,35.9,32078,4664,1326
43026,86032,62169,35.3,39083,4483,982
43026,86032,62169,35.3,39083,4483,982
62864,44120,23586,41.7,28098,4733,825
45013,59291,53933,40.1,29115,5026,1219
62863,50372,9824,44.2,27181,1139,307
43230,77377,58167,36.3,38249,3544,1239
60538,78193,28451,32.5,29219,1743,863
61462,43568,11521,36.1,24554,1373,398
18914,108571,21156,42.8,46877,937,363
61265,52635,43706,39.9,30575,5799,1292
60160,50571,25412,33.7,20740,4417,762
45406,27590,19432,39.8,19386,6212,1287
45420,40940,25145,36.8,24583,4685,825
45431,63263,28084,33.7,35731,3397,494
45439,46094,10185,34.7,22663,1676,256
61611,59891,24877,44,34046,1946,682
43235,76250,42673,36.7,43243,2965,711
