dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,Big4
2016-05-18T10:03:21Z,2018-04-18T14:10:19Z,304 N Sheridan Rd,Fast Food Restaurant,Waukegan,US,us/il/waukegan/304nsheridanrd/-1161002137,42.363867,-87.829891,McDonalds,60085,IL,McDonalds
2016-04-03T01:06:13Z,2018-04-18T14:10:04Z,5021 Trotwood Ave,Fast Food Restaurants,Columbia,US,us/tn/columbia/5021trotwoodave/-891525969,35.58853897,-87.09721466,Subway,38401,TN,Subway
2016-04-02T05:48:46Z,2018-04-18T14:10:02Z,1258 Pocono Blvd,Fast Food Restaurant and Burger Joint,Mount Pocono,US,us/pa/mountpocono/1258poconoblvd/-791445730,41.128440000000005,-75.36162900000001,Wendy's,18344,PA,Wendys
2015-10-22T19:37:06Z,2018-04-18T14:09:54Z,3541 1st St,Fast Food Restaurants,Bradenton,US,us/fl/bradenton/35411stst/-891525969,27.4685,-82.5629,SUBWAY,34208,FL,Subway
2015-11-06T09:58:02Z,2018-04-18T14:09:30Z,449 W Eads Pkwy,Fast Food Restaurant,Lawrenceburg,US,us/in/lawrenceburg/449weadspkwy/-791445730,39.09449,-84.86733000000001,Wendy's,47025,IN,Wendys
2017-07-06T02:03:17Z,2018-04-18T14:09:28Z,339 Main St,Fast Food Restaurants,Johnson City,US,us/ny/johnsoncity/339mainst/-1161002137,42.116240000000005,-75.9606,McDonald's,13790,NY,McDonalds
2017-07-23T03:22:55Z,2018-04-18T14:09:21Z,3333 E Main St,Fast Food Restaurants,Endicott,US,us/ny/endicott/3333emainst/-1161002137,42.10713,-76.02056,McDonald's,13760,NY,McDonalds
2015-10-23T23:28:31Z,2018-04-18T14:09:12Z,1430 S Nappanee St,Fast Food Restaurants,Elkhart,US,us/in/elkhart/1430snappaneest/-1161002137,41.6752,-86.00284,McDonald's,46516,IN,McDonalds
2017-07-20T00:45:52Z,2018-04-18T14:08:51Z,1520 State St,Fast Food Restaurant,Racine,US,us/wi/racine/1520statest/-1161002137,42.73211,-87.79951,McDonald's,53404,WI,McDonalds
2016-03-07T16:41:47Z,2018-04-18T14:08:42Z,1534 E Pembroke Ave,Fast Food Restaurant,Hampton,US,us/va/hampton/1534epembrokeave/-1161002137,37.03738,-76.31448,McDonald's,23663,VA,McDonalds
2016-02-26T13:29:23Z,2018-04-18T14:08:29Z,4145 William Penn Hwy,Fast Food Restaurants,Monroeville,US,us/pa/monroeville/4145williampennhwy/-891525969,40.43932,-79.76593000000001,SUBWAY,15146,PA,Subway
2016-02-26T13:05:58Z,2018-04-18T14:08:28Z,4635 High Pointe Blvd,Fast Food Restaurants,Harrisburg,US,us/pa/harrisburg/4635highpointeblvd/-891525969,40.24518907,-76.80411409,Subway,17111,PA,Subway
2017-06-29T02:14:51Z,2018-04-18T14:08:24Z,5200 N Abbe Rd,Fast Food Restaurant,Elyria,US,us/oh/elyria/5200nabberd/-791445730,41.4206,-82.0771,Wendy's,44035,OH,Wendys
2017-07-06T18:17:25Z,2018-04-18T14:07:43Z,160 Brooklyn St,Fast Food,Carbondale,US,us/pa/carbondale/160brooklynst/-1161002137,41.566,-75.5143,McDonald's,18407,PA,McDonalds
2016-05-03T23:41:39Z,2018-04-18T14:07:42Z,3287 Worth Xing,Fast Food Restaurant Forest Lakes,Charlottesville,US,us/va/charlottesville/3287worthxing/-1161002137,38.12785,-78.43932,McDonald's,22911,VA,McDonalds
